episode 106, score 17.0, avg_score_total 19.252, avg_score_last_20 23.200, time_steps_per_episode 17, learning_steps 0, std_score 9.977, std_score_last_20 11.923, total_time_steps 2060, total_learning_steps 45, total_terminations 107, total_truncations 0
episode 107, score 16.0, avg_score_total 19.222, avg_score_last_20 22.400, time_steps_per_episode 16, learning_steps 0, std_score 9.935, std_score_last_20 11.842, total_time_steps 2076, total_learning_steps 45, total_terminations 108, total_truncations 0
episode 108, score 16.0, avg_score_total 19.193, avg_score_last_20 20.900, time_steps_per_episode 16, learning_steps 0, std_score 9.894, std_score_last_20 10.592, total_time_steps 2092, total_learning_steps 45, total_terminations 109, total_truncations 0
episode 109, score 30.0, avg_score_total 19.291, avg_score_last_20 21.850, time_steps_per_episode 30, learning_steps 1, std_score 9.903, std_score_last_20 10.513, total_time_steps 2122, total_learning_steps 46, total_terminations 110, total_truncations 0
episode 110, score 16.0, avg_score_total 19.261, avg_score_last_20 21.750, time_steps_per_episode 16, learning_steps 0, std_score 9.863, std_score_last_20 10.559, total_time_steps 2138, total_learning_steps 46, total_terminations 111, total_truncations 0
episode 111, score 15.0, avg_score_total 19.223, avg_score_last_20 20.900, time_steps_per_episode 15, learning_steps 0, std_score 9.827, std_score_last_20 10.382, total_time_steps 2153, total_learning_steps 46, total_terminations 112, total_truncations 0
episode 112, score 19.0, avg_score_total 19.221, avg_score_last_20 20.450, time_steps_per_episode 19, learning_steps 0, std_score 9.783, std_score_last_20 10.259, total_time_steps 2172, total_learning_steps 46, total_terminations 113, total_truncations 0
episode 113, score 17.0, avg_score_total 19.202, avg_score_last_20 20.700, time_steps_per_episode 17, learning_steps 0, std_score 9.742, std_score_last_20 10.110, total_time_steps 2189, total_learning_steps 46, total_terminations 114, total_truncations 0
episode 114, score 71.0, avg_score_total 19.652, avg_score_last_20 23.250, time_steps_per_episode 71, learning_steps 3, std_score 10.827, std_score_last_20 14.906, total_time_steps 2260, total_learning_steps 49, total_terminations 115, total_truncations 0
episode 115, score 11.0, avg_score_total 19.578, avg_score_last_20 23.250, time_steps_per_episode 11, learning_steps 0, std_score 10.810, std_score_last_20 14.906, total_time_steps 2271, total_learning_steps 49, total_terminations 116, total_truncations 0
