episode 80, score -106.62, avg_score_total -93.88, avg_score_last_20 -88.03, time_steps_per_episode 104, learning_steps 5, std_score 12.07, std_score_last_20 8.96, total_time_steps 97434, total_learning_steps 4863, total_terminations 21, total_truncations 60
episode 81, score -77.36, avg_score_total -93.68, avg_score_last_20 -87.33, time_steps_per_episode 1600, learning_steps 80, std_score 12.14, std_score_last_20 9.22, total_time_steps 99034, total_learning_steps 4943, total_terminations 21, total_truncations 61
episode 82, score -81.90, avg_score_total -93.54, avg_score_last_20 -86.47, time_steps_per_episode 1600, learning_steps 80, std_score 12.13, std_score_last_20 8.87, total_time_steps 100634, total_learning_steps 5023, total_terminations 21, total_truncations 62
episode 83, score -74.18, avg_score_total -93.31, avg_score_last_20 -85.41, time_steps_per_episode 1600, learning_steps 80, std_score 12.24, std_score_last_20 9.01, total_time_steps 102234, total_learning_steps 5103, total_terminations 21, total_truncations 63
episode 84, score -76.55, avg_score_total -93.11, avg_score_last_20 -84.89, time_steps_per_episode 1600, learning_steps 80, std_score 12.30, std_score_last_20 9.21, total_time_steps 103834, total_learning_steps 5183, total_terminations 21, total_truncations 64
episode 85, score -75.71, avg_score_total -92.91, avg_score_last_20 -84.39, time_steps_per_episode 1600, learning_steps 80, std_score 12.37, std_score_last_20 9.42, total_time_steps 105434, total_learning_steps 5263, total_terminations 21, total_truncations 65
episode 86, score -79.56, avg_score_total -92.76, avg_score_last_20 -84.12, time_steps_per_episode 1600, learning_steps 80, std_score 12.38, std_score_last_20 9.47, total_time_steps 107034, total_learning_steps 5343, total_terminations 21, total_truncations 66
episode 87, score -78.91, avg_score_total -92.60, avg_score_last_20 -83.82, time_steps_per_episode 1600, learning_steps 80, std_score 12.40, std_score_last_20 9.54, total_time_steps 108634, total_learning_steps 5423, total_terminations 21, total_truncations 67
episode 88, score -74.04, avg_score_total -92.39, avg_score_last_20 -82.99, time_steps_per_episode 1600, learning_steps 80, std_score 12.48, std_score_last_20 9.64, total_time_steps 110234, total_learning_steps 5503, total_terminations 21, total_truncations 68
episode 89, score -71.06, avg_score_total -92.15, avg_score_last_20 -82.26, time_steps_per_episode 1600, learning_steps 80, std_score 12.61, std_score_last_20 9.95, total_time_steps 111834, total_learning_steps 5583, total_terminations 21, total_truncations 69
episode 90, score -76.44, avg_score_total -91.98, avg_score_last_20 -81.67, time_steps_per_episode 1600, learning_steps 80, std_score 12.65, std_score_last_20 9.93, total_time_steps 113434, total_learning_steps 5663, total_terminations 21, total_truncations 70
episode 91, score -107.78, avg_score_total -92.15, avg_score_last_20 -82.89, time_steps_per_episode 88, learning_steps 4, std_score 12.69, std_score_last_20 11.45, total_time_steps 113522, total_learning_steps 5667, total_terminations 22, total_truncations 70
episode 92, score -107.05, avg_score_total -92.31, avg_score_last_20 -84.49, time_steps_per_episode 70, learning_steps 3, std_score 12.71, std_score_last_20 12.44, total_time_steps 113592, total_learning_steps 5670, total_terminations 23, total_truncations 70
episode 93, score -71.97, avg_score_total -92.10, avg_score_last_20 -83.95, time_steps_per_episode 1600, learning_steps 80, std_score 12.82, std_score_last_20 12.73, total_time_steps 115192, total_learning_steps 5750, total_terminations 23, total_truncations 71
episode 94, score -106.89, avg_score_total -92.25, avg_score_last_20 -84.94, time_steps_per_episode 72, learning_steps 3, std_score 12.84, std_score_last_20 13.67, total_time_steps 115264, total_learning_steps 5753, total_terminations 24, total_truncations 71
episode 95, score -75.75, avg_score_total -92.08, avg_score_last_20 -84.34, time_steps_per_episode 1600, learning_steps 80, std_score 12.88, std_score_last_20 13.80, total_time_steps 116864, total_learning_steps 5833, total_terminations 24, total_truncations 72
episode 96, score -117.49, avg_score_total -92.34, avg_score_last_20 -86.22, time_steps_per_episode 1600, learning_steps 80, std_score 13.07, std_score_last_20 15.52, total_time_steps 118464, total_learning_steps 5913, total_terminations 24, total_truncations 73
episode 97, score -121.87, avg_score_total -92.64, avg_score_last_20 -88.51, time_steps_per_episode 83, learning_steps 4, std_score 13.34, std_score_last_20 17.14, total_time_steps 118547, total_learning_steps 5917, total_terminations 25, total_truncations 73
episode 98, score -77.01, avg_score_total -92.49, avg_score_last_20 -88.44, time_steps_per_episode 1600, learning_steps 80, std_score 13.36, std_score_last_20 17.19, total_time_steps 120147, total_learning_steps 5997, total_terminations 25, total_truncations 74
episode 99, score -108.86, avg_score_total -92.65, avg_score_last_20 -88.35, time_steps_per_episode 48, learning_steps 2, std_score 13.39, std_score_last_20 17.07, total_time_steps 120195, total_learning_steps 5999, total_terminations 26, total_truncations 74
episode 100, score -109.44, avg_score_total -92.82, avg_score_last_20 -88.49, time_steps_per_episode 45, learning_steps 2, std_score 13.43, std_score_last_20 17.23, total_time_steps 120240, total_learning_steps 6001, total_terminations 27, total_truncations 74
episode 101, score -108.24, avg_score_total -92.97, avg_score_last_20 -90.03, time_steps_per_episode 72, learning_steps 3, std_score 13.45, std_score_last_20 17.55, total_time_steps 120312, total_learning_steps 6004, total_terminations 28, total_truncations 74
episode 102, score -113.85, avg_score_total -93.17, avg_score_last_20 -91.63, time_steps_per_episode 66, learning_steps 3, std_score 13.54, std_score_last_20 18.18, total_time_steps 120378, total_learning_steps 6007, total_terminations 29, total_truncations 74
episode 103, score -112.58, avg_score_total -93.36, avg_score_last_20 -93.55, time_steps_per_episode 77, learning_steps 3, std_score 13.61, std_score_last_20 18.26, total_time_steps 120455, total_learning_steps 6010, total_terminations 30, total_truncations 74
episode 104, score -120.89, avg_score_total -93.62, avg_score_last_20 -95.77, time_steps_per_episode 90, learning_steps 4, std_score 13.80, std_score_last_20 18.75, total_time_steps 120545, total_learning_steps 6014, total_terminations 31, total_truncations 74
episode 105, score -105.18, avg_score_total -93.73, avg_score_last_20 -97.24, time_steps_per_episode 118, learning_steps 5, std_score 13.78, std_score_last_20 18.26, total_time_steps 120663, total_learning_steps 6019, total_terminations 32, total_truncations 74
episode 106, score -113.15, avg_score_total -93.91, avg_score_last_20 -98.92, time_steps_per_episode 73, learning_steps 3, std_score 13.85, std_score_last_20 18.10, total_time_steps 120736, total_learning_steps 6022, total_terminations 33, total_truncations 74
episode 107, score -106.50, avg_score_total -94.03, avg_score_last_20 -100.30, time_steps_per_episode 34, learning_steps 1, std_score 13.83, std_score_last_20 17.57, total_time_steps 120770, total_learning_steps 6023, total_terminations 34, total_truncations 74
episode 108, score -80.31, avg_score_total -93.90, avg_score_last_20 -100.61, time_steps_per_episode 1600, learning_steps 80, std_score 13.83, std_score_last_20 17.15, total_time_steps 122370, total_learning_steps 6103, total_terminations 34, total_truncations 75
episode 109, score -105.39, avg_score_total -94.00, avg_score_last_20 -102.33, time_steps_per_episode 86, learning_steps 4, std_score 13.81, std_score_last_20 15.77, total_time_steps 122456, total_learning_steps 6107, total_terminations 35, total_truncations 75
episode 110, score -112.10, avg_score_total -94.17, avg_score_last_20 -104.11, time_steps_per_episode 70, learning_steps 3, std_score 13.86, std_score_last_20 14.72, total_time_steps 122526, total_learning_steps 6110, total_terminations 36, total_truncations 75
