episode 95, score -5.57, avg_score_total -6.27, avg_score_last_20 -5.74, time_steps_per_episode 999, learning_steps 49, std_score 3.27, std_score_last_20 0.87, total_time_steps 95904, total_learning_steps 4704, total_terminations 0, total_truncations 96
episode 96, score -4.77, avg_score_total -6.25, avg_score_last_20 -5.74, time_steps_per_episode 999, learning_steps 49, std_score 3.26, std_score_last_20 0.87, total_time_steps 96903, total_learning_steps 4753, total_terminations 0, total_truncations 97
episode 97, score -5.21, avg_score_total -6.24, avg_score_last_20 -5.78, time_steps_per_episode 999, learning_steps 49, std_score 3.25, std_score_last_20 0.82, total_time_steps 97902, total_learning_steps 4802, total_terminations 0, total_truncations 98
episode 98, score -5.80, avg_score_total -6.24, avg_score_last_20 -5.79, time_steps_per_episode 999, learning_steps 49, std_score 3.23, std_score_last_20 0.82, total_time_steps 98901, total_learning_steps 4851, total_terminations 0, total_truncations 99
episode 99, score -4.99, avg_score_total -6.22, avg_score_last_20 -5.79, time_steps_per_episode 999, learning_steps 49, std_score 3.22, std_score_last_20 0.82, total_time_steps 99900, total_learning_steps 4900, total_terminations 0, total_truncations 100
episode 100, score -5.15, avg_score_total -6.21, avg_score_last_20 -5.79, time_steps_per_episode 999, learning_steps 49, std_score 3.20, std_score_last_20 0.82, total_time_steps 100899, total_learning_steps 4949, total_terminations 0, total_truncations 101
episode 101, score -5.34, avg_score_total -6.20, avg_score_last_20 -5.83, time_steps_per_episode 999, learning_steps 49, std_score 3.19, std_score_last_20 0.78, total_time_steps 101898, total_learning_steps 4998, total_terminations 0, total_truncations 102
episode 102, score -5.00, avg_score_total -6.19, avg_score_last_20 -5.76, time_steps_per_episode 999, learning_steps 49, std_score 3.17, std_score_last_20 0.80, total_time_steps 102897, total_learning_steps 5047, total_terminations 0, total_truncations 103
episode 103, score -5.69, avg_score_total -6.19, avg_score_last_20 -5.74, time_steps_per_episode 999, learning_steps 49, std_score 3.16, std_score_last_20 0.79, total_time_steps 103896, total_learning_steps 5096, total_terminations 0, total_truncations 104
episode 104, score -5.55, avg_score_total -6.18, avg_score_last_20 -5.69, time_steps_per_episode 999, learning_steps 49, std_score 3.14, std_score_last_20 0.77, total_time_steps 104895, total_learning_steps 5145, total_terminations 0, total_truncations 105
episode 105, score -6.37, avg_score_total -6.18, avg_score_last_20 -5.73, time_steps_per_episode 999, learning_steps 49, std_score 3.13, std_score_last_20 0.79, total_time_steps 105894, total_learning_steps 5194, total_terminations 0, total_truncations 106
episode 106, score -7.31, avg_score_total -6.19, avg_score_last_20 -5.81, time_steps_per_episode 999, learning_steps 49, std_score 3.12, std_score_last_20 0.86, total_time_steps 106893, total_learning_steps 5243, total_terminations 0, total_truncations 107
episode 107, score -6.33, avg_score_total -6.20, avg_score_last_20 -5.83, time_steps_per_episode 999, learning_steps 49, std_score 3.10, std_score_last_20 0.87, total_time_steps 107892, total_learning_steps 5292, total_terminations 0, total_truncations 108
episode 108, score -7.20, avg_score_total -6.20, avg_score_last_20 -5.90, time_steps_per_episode 999, learning_steps 49, std_score 3.09, std_score_last_20 0.91, total_time_steps 108891, total_learning_steps 5341, total_terminations 0, total_truncations 109
episode 109, score -4.69, avg_score_total -6.19, avg_score_last_20 -5.85, time_steps_per_episode 999, learning_steps 49, std_score 3.08, std_score_last_20 0.95, total_time_steps 109890, total_learning_steps 5390, total_terminations 0, total_truncations 110
episode 110, score -6.10, avg_score_total -6.19, avg_score_last_20 -5.88, time_steps_per_episode 999, learning_steps 49, std_score 3.06, std_score_last_20 0.95, total_time_steps 110889, total_learning_steps 5439, total_terminations 0, total_truncations 111
episode 111, score -6.67, avg_score_total -6.19, avg_score_last_20 -5.94, time_steps_per_episode 999, learning_steps 49, std_score 3.05, std_score_last_20 0.96, total_time_steps 111888, total_learning_steps 5488, total_terminations 0, total_truncations 112
episode 112, score -5.75, avg_score_total -6.19, avg_score_last_20 -5.93, time_steps_per_episode 999, learning_steps 49, std_score 3.04, std_score_last_20 0.96, total_time_steps 112887, total_learning_steps 5537, total_terminations 0, total_truncations 113
episode 113, score -4.85, avg_score_total -6.18, avg_score_last_20 -5.85, time_steps_per_episode 999, learning_steps 49, std_score 3.03, std_score_last_20 0.98, total_time_steps 113886, total_learning_steps 5586, total_terminations 0, total_truncations 114
episode 114, score -5.76, avg_score_total -6.18, avg_score_last_20 -5.70, time_steps_per_episode 999, learning_steps 49, std_score 3.01, std_score_last_20 0.75, total_time_steps 114885, total_learning_steps 5635, total_terminations 0, total_truncations 115
episode 115, score -5.33, avg_score_total -6.17, avg_score_last_20 -5.69, time_steps_per_episode 999, learning_steps 49, std_score 3.00, std_score_last_20 0.75, total_time_steps 115884, total_learning_steps 5684, total_terminations 0, total_truncations 116
episode 116, score -4.52, avg_score_total -6.15, avg_score_last_20 -5.68, time_steps_per_episode 999, learning_steps 49, std_score 2.99, std_score_last_20 0.77, total_time_steps 116883, total_learning_steps 5733, total_terminations 0, total_truncations 117
episode 117, score -5.50, avg_score_total -6.15, avg_score_last_20 -5.69, time_steps_per_episode 999, learning_steps 49, std_score 2.98, std_score_last_20 0.76, total_time_steps 117882, total_learning_steps 5782, total_terminations 0, total_truncations 118
episode 118, score -5.77, avg_score_total -6.15, avg_score_last_20 -5.69, time_steps_per_episode 999, learning_steps 49, std_score 2.97, std_score_last_20 0.76, total_time_steps 118881, total_learning_steps 5831, total_terminations 0, total_truncations 119
episode 119, score -4.62, avg_score_total -6.13, avg_score_last_20 -5.67, time_steps_per_episode 999, learning_steps 49, std_score 2.96, std_score_last_20 0.78, total_time_steps 119880, total_learning_steps 5880, total_terminations 0, total_truncations 120
episode 120, score -3.81, avg_score_total -6.11, avg_score_last_20 -5.61, time_steps_per_episode 999, learning_steps 49, std_score 2.95, std_score_last_20 0.87, total_time_steps 120879, total_learning_steps 5929, total_terminations 0, total_truncations 121
episode 121, score -4.42, avg_score_total -6.10, avg_score_last_20 -5.56, time_steps_per_episode 999, learning_steps 49, std_score 2.95, std_score_last_20 0.91, total_time_steps 121878, total_learning_steps 5978, total_terminations 0, total_truncations 122
episode 122, score -5.42, avg_score_total -6.09, avg_score_last_20 -5.58, time_steps_per_episode 999, learning_steps 49, std_score 2.94, std_score_last_20 0.90, total_time_steps 122877, total_learning_steps 6027, total_terminations 0, total_truncations 123
