episode 75, score -91.0, avg_score_total -296.842, avg_score_last_20 -147.450, time_steps_per_episode 92, learning_steps 4, std_score 149.454, std_score_last_20 31.827, total_time_steps 22616, total_learning_steps 1104, total_terminations 56, total_truncations 20
episode 76, score -99.0, avg_score_total -294.273, avg_score_last_20 -142.400, time_steps_per_episode 100, learning_steps 5, std_score 150.161, std_score_last_20 31.092, total_time_steps 22716, total_learning_steps 1109, total_terminations 57, total_truncations 20
episode 77, score -135.0, avg_score_total -292.231, avg_score_last_20 -141.700, time_steps_per_episode 136, learning_steps 6, std_score 150.267, std_score_last_20 31.094, total_time_steps 22852, total_learning_steps 1115, total_terminations 58, total_truncations 20
episode 78, score -122.0, avg_score_total -290.076, avg_score_last_20 -139.550, time_steps_per_episode 123, learning_steps 6, std_score 150.521, std_score_last_20 30.894, total_time_steps 22975, total_learning_steps 1121, total_terminations 59, total_truncations 20
episode 79, score -142.0, avg_score_total -288.225, avg_score_last_20 -136.350, time_steps_per_episode 143, learning_steps 7, std_score 150.479, std_score_last_20 26.902, total_time_steps 23118, total_learning_steps 1128, total_terminations 60, total_truncations 20
episode 80, score -101.0, avg_score_total -285.914, avg_score_last_20 -133.650, time_steps_per_episode 102, learning_steps 5, std_score 150.970, std_score_last_20 27.596, total_time_steps 23220, total_learning_steps 1133, total_terminations 61, total_truncations 20
episode 81, score -109.0, avg_score_total -283.756, avg_score_last_20 -130.750, time_steps_per_episode 110, learning_steps 5, std_score 151.297, std_score_last_20 26.979, total_time_steps 23330, total_learning_steps 1138, total_terminations 62, total_truncations 20
episode 82, score -125.0, avg_score_total -281.843, avg_score_last_20 -127.700, time_steps_per_episode 126, learning_steps 6, std_score 151.377, std_score_last_20 23.825, total_time_steps 23456, total_learning_steps 1144, total_terminations 63, total_truncations 20
episode 83, score -140.0, avg_score_total -280.155, avg_score_last_20 -128.300, time_steps_per_episode 141, learning_steps 7, std_score 151.258, std_score_last_20 23.975, total_time_steps 23597, total_learning_steps 1151, total_terminations 64, total_truncations 20
episode 84, score -108.0, avg_score_total -278.129, avg_score_last_20 -124.400, time_steps_per_episode 109, learning_steps 5, std_score 151.507, std_score_last_20 20.341, total_time_steps 23706, total_learning_steps 1156, total_terminations 65, total_truncations 20
