episode 57, score -1693.83, avg_score_total -1628.71, avg_score_last_20 -1662.88, time_steps_per_episode 200, learning_steps 10, std_score 175.62, std_score_last_20 144.68, total_time_steps 11600, total_learning_steps 580, total_terminations 0, total_truncations 58
episode 58, score -1810.52, avg_score_total -1631.79, avg_score_last_20 -1685.21, time_steps_per_episode 200, learning_steps 10, std_score 175.70, std_score_last_20 130.58, total_time_steps 11800, total_learning_steps 590, total_terminations 0, total_truncations 59
episode 59, score -1315.90, avg_score_total -1626.53, avg_score_last_20 -1666.78, time_steps_per_episode 200, learning_steps 10, std_score 178.86, std_score_last_20 153.40, total_time_steps 12000, total_learning_steps 600, total_terminations 0, total_truncations 60
episode 60, score -1324.19, avg_score_total -1621.57, avg_score_last_20 -1639.72, time_steps_per_episode 200, learning_steps 10, std_score 181.49, std_score_last_20 163.39, total_time_steps 12200, total_learning_steps 610, total_terminations 0, total_truncations 61
episode 61, score -1430.01, avg_score_total -1618.48, avg_score_last_20 -1623.51, time_steps_per_episode 200, learning_steps 10, std_score 181.63, std_score_last_20 167.26, total_time_steps 12400, total_learning_steps 620, total_terminations 0, total_truncations 62
episode 62, score -1372.85, avg_score_total -1614.58, avg_score_last_20 -1614.50, time_steps_per_episode 200, learning_steps 10, std_score 182.78, std_score_last_20 175.46, total_time_steps 12600, total_learning_steps 630, total_terminations 0, total_truncations 63
episode 63, score -1864.12, avg_score_total -1618.48, avg_score_last_20 -1620.60, time_steps_per_episode 200, learning_steps 10, std_score 183.97, std_score_last_20 181.80, total_time_steps 12800, total_learning_steps 640, total_terminations 0, total_truncations 64
episode 64, score -1389.33, avg_score_total -1614.96, avg_score_last_20 -1610.57, time_steps_per_episode 200, learning_steps 10, std_score 184.72, std_score_last_20 188.62, total_time_steps 13000, total_learning_steps 650, total_terminations 0, total_truncations 65
episode 65, score -1550.89, avg_score_total -1613.99, avg_score_last_20 -1596.05, time_steps_per_episode 200, learning_steps 10, std_score 183.48, std_score_last_20 181.34, total_time_steps 13200, total_learning_steps 660, total_terminations 0, total_truncations 66
episode 66, score -1864.84, avg_score_total -1617.73, avg_score_last_20 -1615.37, time_steps_per_episode 200, learning_steps 10, std_score 184.63, std_score_last_20 188.24, total_time_steps 13400, total_learning_steps 670, total_terminations 0, total_truncations 67
episode 67, score -1385.15, avg_score_total -1614.31, avg_score_last_20 -1611.73, time_steps_per_episode 200, learning_steps 10, std_score 185.39, std_score_last_20 191.91, total_time_steps 13600, total_learning_steps 680, total_terminations 0, total_truncations 68
episode 68, score -1459.70, avg_score_total -1612.07, avg_score_last_20 -1602.91, time_steps_per_episode 200, learning_steps 10, std_score 184.97, std_score_last_20 194.63, total_time_steps 13800, total_learning_steps 690, total_terminations 0, total_truncations 69
episode 69, score -1436.46, avg_score_total -1609.56, avg_score_last_20 -1587.87, time_steps_per_episode 200, learning_steps 10, std_score 184.82, std_score_last_20 195.29, total_time_steps 14000, total_learning_steps 700, total_terminations 0, total_truncations 70
episode 70, score -1381.15, avg_score_total -1606.34, avg_score_last_20 -1563.55, time_steps_per_episode 200, learning_steps 10, std_score 185.48, std_score_last_20 189.14, total_time_steps 14200, total_learning_steps 710, total_terminations 0, total_truncations 71
episode 71, score -1668.40, avg_score_total -1607.21, avg_score_last_20 -1565.03, time_steps_per_episode 200, learning_steps 10, std_score 184.33, std_score_last_20 189.83, total_time_steps 14400, total_learning_steps 720, total_terminations 0, total_truncations 72
episode 72, score -1566.81, avg_score_total -1606.65, avg_score_last_20 -1552.31, time_steps_per_episode 200, learning_steps 10, std_score 183.12, std_score_last_20 180.54, total_time_steps 14600, total_learning_steps 730, total_terminations 0, total_truncations 73
episode 73, score -1816.74, avg_score_total -1609.49, avg_score_last_20 -1561.10, time_steps_per_episode 200, learning_steps 10, std_score 183.49, std_score_last_20 188.73, total_time_steps 14800, total_learning_steps 740, total_terminations 0, total_truncations 74
episode 74, score -1492.30, avg_score_total -1607.93, avg_score_last_20 -1561.60, time_steps_per_episode 200, learning_steps 10, std_score 182.76, std_score_last_20 188.54, total_time_steps 15000, total_learning_steps 750, total_terminations 0, total_truncations 75
episode 75, score -1207.03, avg_score_total -1602.65, avg_score_last_20 -1543.50, time_steps_per_episode 200, learning_steps 10, std_score 187.21, std_score_last_20 203.72, total_time_steps 15200, total_learning_steps 760, total_terminations 0, total_truncations 76
episode 76, score -1759.83, avg_score_total -1604.69, avg_score_last_20 -1539.50, time_steps_per_episode 200, learning_steps 10, std_score 186.84, std_score_last_20 198.58, total_time_steps 15400, total_learning_steps 770, total_terminations 0, total_truncations 77
