episode 67, score -151291.08, avg_score_total -166611.17, avg_score_last_20 -164707.15, time_steps_per_episode 200, learning_steps 10, std_score 14198.72, std_score_last_20 12955.52, total_time_steps 13600, total_learning_steps 680, total_terminations 0, total_truncations 68
episode 68, score -176744.27, avg_score_total -166758.03, avg_score_last_20 -165311.16, time_steps_per_episode 200, learning_steps 10, std_score 14147.38, std_score_last_20 13218.37, total_time_steps 13800, total_learning_steps 690, total_terminations 0, total_truncations 69
episode 69, score -164027.98, avg_score_total -166719.03, avg_score_last_20 -165894.84, time_steps_per_episode 200, learning_steps 10, std_score 14049.70, std_score_last_20 12886.94, total_time_steps 14000, total_learning_steps 700, total_terminations 0, total_truncations 70
episode 70, score -186568.86, avg_score_total -166998.60, avg_score_last_20 -167340.30, time_steps_per_episode 200, learning_steps 10, std_score 14145.15, std_score_last_20 13489.38, total_time_steps 14200, total_learning_steps 710, total_terminations 0, total_truncations 71
episode 71, score -156860.38, avg_score_total -166857.79, avg_score_last_20 -167159.45, time_steps_per_episode 200, learning_steps 10, std_score 14096.60, std_score_last_20 13603.95, total_time_steps 14400, total_learning_steps 720, total_terminations 0, total_truncations 72
episode 72, score -154067.24, avg_score_total -166682.58, avg_score_last_20 -166597.56, time_steps_per_episode 200, learning_steps 10, std_score 14078.43, std_score_last_20 13897.84, total_time_steps 14600, total_learning_steps 730, total_terminations 0, total_truncations 73
episode 73, score -174696.97, avg_score_total -166790.88, avg_score_last_20 -166511.46, time_steps_per_episode 200, learning_steps 10, std_score 14013.57, std_score_last_20 13841.95, total_time_steps 14800, total_learning_steps 740, total_terminations 0, total_truncations 74
episode 74, score -158183.10, avg_score_total -166676.11, avg_score_last_20 -165613.99, time_steps_per_episode 200, learning_steps 10, std_score 13954.80, std_score_last_20 13770.76, total_time_steps 15000, total_learning_steps 750, total_terminations 0, total_truncations 75
episode 75, score -155676.28, avg_score_total -166531.38, avg_score_last_20 -164784.60, time_steps_per_episode 200, learning_steps 10, std_score 13919.24, std_score_last_20 13844.59, total_time_steps 15200, total_learning_steps 760, total_terminations 0, total_truncations 76
episode 76, score -102088.12, avg_score_total -165694.45, avg_score_last_20 -160793.38, time_steps_per_episode 200, learning_steps 10, std_score 15635.31, std_score_last_20 18910.77, total_time_steps 15400, total_learning_steps 770, total_terminations 0, total_truncations 77
episode 77, score -188187.75, avg_score_total -165982.83, avg_score_last_20 -161617.72, time_steps_per_episode 200, learning_steps 10, std_score 15739.51, std_score_last_20 19710.69, total_time_steps 15600, total_learning_steps 780, total_terminations 0, total_truncations 78
episode 78, score -173565.15, avg_score_total -166078.81, avg_score_last_20 -162102.38, time_steps_per_episode 200, learning_steps 10, std_score 15662.53, std_score_last_20 19878.62, total_time_steps 15800, total_learning_steps 790, total_terminations 0, total_truncations 79
episode 79, score -171273.06, avg_score_total -166143.73, avg_score_last_20 -162716.94, time_steps_per_episode 200, learning_steps 10, std_score 15575.02, std_score_last_20 19962.46, total_time_steps 16000, total_learning_steps 800, total_terminations 0, total_truncations 80
episode 80, score -185915.12, avg_score_total -166387.82, avg_score_last_20 -163692.00, time_steps_per_episode 200, learning_steps 10, std_score 15631.79, std_score_last_20 20585.76, total_time_steps 16200, total_learning_steps 810, total_terminations 0, total_truncations 81
episode 81, score -157223.84, avg_score_total -166276.07, avg_score_last_20 -162446.95, time_steps_per_episode 200, learning_steps 10, std_score 15568.71, std_score_last_20 20182.34, total_time_steps 16400, total_learning_steps 820, total_terminations 0, total_truncations 82
episode 82, score -171322.04, avg_score_total -166336.86, avg_score_last_20 -161712.08, time_steps_per_episode 200, learning_steps 10, std_score 15484.43, std_score_last_20 19568.90, total_time_steps 16600, total_learning_steps 830, total_terminations 0, total_truncations 83
