episode 63, score -1453.2296170159923, avg_score_total -1411.302, avg_score_last_20 -1287.6398103901404, time_steps_per_episode 200, learning_steps 40, total_time_steps 12800, total_learning_steps 2560
episode 64, score -1245.353071645061, avg_score_total -1408.749, avg_score_last_20 -1274.9883097116658, time_steps_per_episode 200, learning_steps 40, total_time_steps 13000, total_learning_steps 2600
episode 65, score -1048.0925467763122, avg_score_total -1403.285, avg_score_last_20 -1251.4444451126808, time_steps_per_episode 200, learning_steps 40, total_time_steps 13200, total_learning_steps 2640
episode 66, score -1223.4605197960343, avg_score_total -1400.601, avg_score_last_20 -1256.5963516383254, time_steps_per_episode 200, learning_steps 40, total_time_steps 13400, total_learning_steps 2680
episode 67, score -1230.1063706831874, avg_score_total -1398.093, avg_score_last_20 -1242.7020067570352, time_steps_per_episode 200, learning_steps 40, total_time_steps 13600, total_learning_steps 2720
episode 68, score -1040.5725716858565, avg_score_total -1392.912, avg_score_last_20 -1232.2345730024913, time_steps_per_episode 200, learning_steps 40, total_time_steps 13800, total_learning_steps 2760
episode 69, score -1226.3889296209857, avg_score_total -1390.533, avg_score_last_20 -1229.7944129377236, time_steps_per_episode 200, learning_steps 40, total_time_steps 14000, total_learning_steps 2800
episode 70, score -984.7261110189191, avg_score_total -1384.817, avg_score_last_20 -1218.7442538719883, time_steps_per_episode 200, learning_steps 40, total_time_steps 14200, total_learning_steps 2840
episode 71, score -1169.4988351406525, avg_score_total -1381.827, avg_score_last_20 -1204.7628988073043, time_steps_per_episode 200, learning_steps 40, total_time_steps 14400, total_learning_steps 2880
episode 72, score -1208.864146161263, avg_score_total -1379.458, avg_score_last_20 -1211.2468330784172, time_steps_per_episode 200, learning_steps 40, total_time_steps 14600, total_learning_steps 2920
episode 73, score -1177.238883936526, avg_score_total -1376.725, avg_score_last_20 -1203.947697716244, time_steps_per_episode 200, learning_steps 40, total_time_steps 14800, total_learning_steps 2960
episode 74, score -877.4677346497264, avg_score_total -1370.068, avg_score_last_20 -1195.3259892673152, time_steps_per_episode 200, learning_steps 40, total_time_steps 15000, total_learning_steps 3000
episode 75, score -1495.7441939300586, avg_score_total -1371.722, avg_score_last_20 -1202.92993315125, time_steps_per_episode 200, learning_steps 40, total_time_steps 15200, total_learning_steps 3040
episode 76, score -1259.3588191442748, avg_score_total -1370.262, avg_score_last_20 -1198.4600263208765, time_steps_per_episode 200, learning_steps 40, total_time_steps 15400, total_learning_steps 3080
episode 77, score -1405.9135232318288, avg_score_total -1370.720, avg_score_last_20 -1209.309676553594, time_steps_per_episode 200, learning_steps 40, total_time_steps 15600, total_learning_steps 3120
episode 78, score -1047.5592413610875, avg_score_total -1366.629, avg_score_last_20 -1195.8956871423577, time_steps_per_episode 200, learning_steps 40, total_time_steps 15800, total_learning_steps 3160
episode 79, score -1190.0368796576197, avg_score_total -1364.422, avg_score_last_20 -1186.4977088587723, time_steps_per_episode 200, learning_steps 40, total_time_steps 16000, total_learning_steps 3200
